t,y,u,ref,a1_est,a2_est,b1_est,b2_est,Kp,Ki,Kd
0.0,0.1,29.002,0.0,0.0,0.0,0.0,0.0,40.0,1.0,5.0
0.02,0.09218350700033817,1.7370607002380754,0.0,-0.001201285946933424,-0.0014512784918553916,-0.01436216033667527,0.027347178636776496,40.0,1.0,5.0
0.04,0.07630427386612121,-0.9122675732920635,0.0,-0.0024647930097023863,-0.0030275394520804895,-0.04187811081510708,0.012749479188804912,40.0,1.0,5.0
0.06,0.06097297989747228,-1.3873150810480621,0.0,-0.015740962912873017,-0.018405817293491618,-0.03642276157700754,0.014759337950105172,40.0,1.0,5.0
0.08,0.047001184798545856,-1.6053721438785222,0.0,-0.04282936090336624,-0.049804465291110434,-0.030653231664984515,0.015561908376772536,40.0,1.0,5.0
0.1,0.034498535960947256,-1.737501561331291,0.0,-0.0759617869190832,-0.08821496644092316,-0.025289486789679922,0.0154628900634248,40.0,1.0,5.0
0.12,0.023482325784683174,-1.8060706565325313,0.0,-0.10874457821599007,-0.12622221456465438,-0.020746090191982723,0.0148790189969526,40.0,1.0,5.0
0.14,0.013934082867132096,-1.820729876898981,0.0,-0.1381088487596063,-0.1602665042228239,-0.017081808177217057,0.014103398206894114,40.0,1.0,5.0
0.16,0.0058088749202663565,-1.7898632746038705,0.0,-0.16321374497592187,-0.18937198940146163,-0.014187383900625258,0.013297011321837172,40.0,1.0,5.0
0.18,-0.0009596079278153978,-1.7214405059897004,0.0,-0.18425194322028085,-0.21376154303496034,-0.011913115809697575,0.012535202855435678,40.0,1.0,5.0
0.2,-0.006454584887191157,-1.6229922038859759,0.0,-0.20176767157593917,-0.23406586942326058,-0.01012186065159264,0.011847216966150825,40.0,1.0,5.0
0.22,-0.010772075025232681,-1.501535545574583,0.0,-0.2163524561757865,-0.25097063041807005,-0.008703190308333447,0.011239928234669136,40.0,1.0,5.0
0.24,-0.014017156133836396,-1.363516875681956,0.0,-0.22853376571616196,-0.26508727668568755,-0.007572660344207998,0.010710304900235636,40.0,1.0,5.0
0.26,-0.016300608364021953,-1.214773757452119,0.0,-0.23874725602392116,-0.27692083949354784,-0.006666926459007561,0.010251511923112305,40.0,1.0,5.0
0.28,-0.017735947805603686,-1.0605138569205448,0.0,-0.24734078673457363,-0.2868745781859638,-0.005938621934356249,0.009855738466903314,40.0,1.0,5.0
