t,y,u,ref,a1_est,a2_est,b1_est,b2_est,r1,r2,r3,s0,s1,s2,t0
0.0,0.1,37.15343219262194,0.0,-2.006320008667282,1.0,-0.0002928370247095777,-0.0002928370247095777,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.773603648824,697.1883841780134,-331.0865546039099,-0.6717740747203834
0.02,0.08949524029737485,7.701582723630565,0.0,-2.006320008667282,1.0,-0.0002928370247095777,-0.0002928370247095777,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.773603648824,697.1883841780134,-331.0865546039099,-0.6717740747203834
0.04,0.06648227169239126,-4.361172190194676,0.0,-2.006320008667282,1.0,-0.0002928370247095777,-0.0002928370247095777,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.773603648824,697.1883841780134,-331.0865546039099,-0.6717740747203834
0.06,0.04291273268160531,-6.609585628006238,0.0,-2.006320179321503,0.9999998093147521,-0.00027815124260123514,-0.00022199091043182133,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.773603648824,697.1883841780134,-331.0865546039099,-0.6717740747203834
0.08,0.022821999858266037,-7.080027590448133,0.0,-2.0063255042016643,0.9999922645970168,-0.0008771202496598123,-9.785806212657457e-05,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.773603648824,697.1883841780134,-331.0865546039099,-0.6717740747203834
0.1,0.006882378700427807,-9.170376518193095,0.0,-2.0063269118753326,0.9999899492376476,-0.0008774001510016653,-9.782548077211604e-05,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.773603648824,697.1883841780134,-331.0865546039099,-0.6717740747203834
0.12,-0.004255355847687802,-2.4310774139021207,0.0,-2.012524295088547,0.993538337346089,-0.0002644598436229199,-0.00022431581296629183,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.773603648824,697.1883841780134,-331.0865546039099,-0.6717740747203834
0.14,-0.012022663676906915,-2.248920011168054,0.0,-2.0066886676407014,1.0012401761893088,-0.0005212830849072103,-0.0001423231489463631,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.773603648824,697.1883841780134,-331.0865546039099,-0.6717740747203834
0.16,-0.018495549031312352,-4.226812864458904,0.0,-2.0120137376738603,0.9908380315868175,-0.0003913798471898544,-0.0002392735389526171,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.773603648824,697.1883841780134,-331.0865546039099,-0.6717740747203834
0.18,-0.023189334458427118,-0.8779092102020929,0.0,-2.011321452589639,0.9913310546575602,-0.00040562792641951005,-0.00023383916761914085,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.773603648824,697.1883841780134,-331.0865546039099,-0.6717740747203834
0.2,-0.026535206910732453,-2.639456711436584,0.0,-1.9988549019634463,1.004945142442357,-0.0007173118244591042,-0.0001036843140788955,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.773603648824,697.1883841780134,-331.0865546039099,-0.6717740747203834
