t,y,u,ref,a1_est,a2_est,b1_est,b2_est,r1,r2,r3,s0,s1,s2,t0
0.0,0.1,36.67736036488241,0.0,-2.006320008667282,1.0,-0.0002928370247095777,-0.0002928370247095777,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.02,0.09057692196217694,7.503538136341049,0.2,-2.006320008667282,1.0,-0.0002928370247095777,-0.0002928370247095777,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.04,0.06996917459982552,-4.006164168316781,0.2,-2.006320008667282,1.0,-0.0002928370247095777,-0.0002928370247095777,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.06,0.04883399679656115,-6.515448033298958,0.2,-2.0063200849700893,0.9999999157591077,-0.00028651597722967104,-0.0002619396890671789,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.08,0.03077493639223927,-6.4189501093863095,0.2,-2.0063198059878165,1.0000002924656717,-0.00025910130625487516,-0.0002675467723780103,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.1,0.01633318386849277,-5.757865743285479,0.2,-2.0063218904396085,0.9999971537215133,-0.0002597289837117146,-0.00026746268068037556,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.12,0.0052259718150192095,-4.773275695961518,-0.2,-2.006318964242917,0.999999049603776,-0.0002605120436985358,-0.0002673411882091465,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.14,-0.0030479205315174568,-3.811597611601124,-0.2,-2.0063055593035006,1.0000130500724935,-0.00026142996361825044,-0.00026713101979438693,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.16,-0.00905401882249181,-2.975840335232147,-0.2,-2.0062881859894555,1.0000313743643452,-0.0002622325511336488,-0.0002669111805472867,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.18,-0.013305365232236775,-2.276297078639541,-0.2,-2.006268847465051,1.0000518477351814,-0.00026293280758922125,-0.00026668980116653575,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.2,-0.016235142650409852,-1.6999088077564446,-0.2,-2.0062494340561186,1.0000723913890035,-0.00026353162177872547,-0.0002664793995225159,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.22,-0.018199860916216153,-1.4988802630667952,0.2,-2.006231312604879,1.00009147871692,-0.00026402967030257006,-0.0002662900234065709,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.24,-0.01941776290931948,-1.4175274361650287,0.2,-2.0062151523216154,1.0001083545919465,-0.0002644352343863812,-0.0002661258901530233,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.26,-0.019971023402334122,-1.3539133718475194,0.2,-2.0061993186720852,1.0001255310627364,-0.00026482632102630234,-0.0002659600794063577,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
