t,y,u,ref,a1_est,a2_est,b1_est,b2_est,r1,r2,r3,s0,s1,s2,t0
0.0,0.1,36.67736036488241,0.0,-2.006320008667282,1.0,-0.0002928370247095777,-0.0002928370247095777,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.02,0.0896339147052405,7.292022781391559,0.0,-2.006320008667282,1.0,-0.0002928370247095777,-0.0002928370247095777,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.04,0.06701884541867664,-4.550984395218931,0.0,-2.006320008667282,1.0,-0.0002928370247095777,-0.0002928370247095777,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.06,0.04402570757196836,-7.006380913761225,0.0,-2.006320012538188,0.9999999956814274,-0.0002925221134139021,-0.00029125308628525737,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.08,0.02468987994566542,-6.6112583177019495,0.0,-2.0063199989316813,1.000000014750812,-0.0002910116945331555,-0.00029155330741330695,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.1,0.009495667376673287,-5.6140104063587,0.0,-2.0063232095039787,0.9999946881582928,-0.0002920388175531997,-0.0002914267731015258,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.12,-0.0020589414649475647,-4.623649133341075,0.0,-2.0063201548308833,0.9999960519109321,-0.00029273216654940624,-0.0002913297538583262,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.14,-0.010628623514640877,-3.770171119239104,0.0,-2.0063112039352053,1.0000045233223687,-0.00029325742397253026,-0.000291213102548245,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.16,-0.016807575266764643,-3.0614968125769693,0.0,-2.0063010401913934,1.000014937139094,-0.0002936390021417991,-0.0002911011092399417,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.18,-0.02109246231385858,-2.479288246244136,0.0,-2.0062929905453344,1.0000234299765256,-0.0002938823185263343,-0.0002910174868793788,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.2,-0.023888479748595405,-2.0024896156643037,0.0,-2.0062880274825345,1.0000287472931262,-0.00029401412703783706,-0.00029096741906785875,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.22,-0.025523436599622373,-1.6124288459721257,0.0,-2.0062856811858123,1.000031285798314,-0.0002940711480968263,-0.00029094417132341066,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.24,-0.02626148383215023,-1.293491124904847,0.0,-2.0062850727747614,1.0000319487480003,-0.00029408497997648463,-0.00029093821784386797,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.26,-0.02631484976120315,-1.0328240017787325,0.0,-2.0062854452462378,1.0000315405840026,-0.0002940769509709857,-0.00029094182870092165,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.28,-0.025853536555172512,-0.8198939612389089,0.0,-2.0062862915855963,1.0000306086612814,-0.00029405949534234803,-0.00029094997370943625,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.3,-0.025013254293603886,-0.6460760751464457,0.0,-2.006287314785107,1.0000294771093006,-0.00029403917045874945,-0.0002909597633457046,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.32,-0.02390189442644766,-0.5043078377896775,0.0,-2.006288356093653,1.0000283208597578,-0.00029401914818924995,-0.00029096967905949697,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.34,-0.02260480715347276,-0.38880433437530987,0.0,-2.006289337753252,1.0000272265624204,-0.00029400080353146423,-0.00029097899073741946,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.36,-0.021189102537173883,-0.29482549942492486,0.0,-2.006290226320492,1.0000262321629514,-0.00029398461193070745,-0.00029098739308153573,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.38,-0.01970715524641277,-0.21848621675831553,0.0,-2.0062910114462804,1.0000253500161815,-0.000293970622841259,-0.00029099479882916697,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.4,-0.018199459543900114,-0.1566013262294919,0.0,-2.006291694270346,1.000024579622114,-0.0002939586988444516,-0.0002910012272263526,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.42,-0.016696953934383217,-0.10655901317144018,0.0,-2.0062922812940216,1.0000239143967005,-0.00029394863213712513,-0.00029100674591416546,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.44,-0.015222912798919073,-0.06621728718836128,0.0,-2.006292781227614,1.0000233451807532,-0.00029394019909503204,-0.0002910114414524739,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.46,-0.013794484410775227,-0.03381926959258191,0.0,-2.0062932034058125,1.0000228620184501,-0.0002939331843901174,-0.00029101540476825325,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.48,-0.012423940161400191,-0.00792382579163474,0.0,-2.0062935570130964,1.000022455036309,-0.0002939273905274911,-0.00029101872422367635,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.5,-0.011119687970588932,0.01265126567735938,0.0,-2.0062938507211365,1.0000221148615076,-0.0002939226406310044,-0.0002910214825073457,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.52,-0.009887093192094312,0.02887588992530308,0.0,-2.0062940925330968,1.000021832807063,-0.00029391877826277476,-0.0002910237554112649,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.54,-0.008729142437778031,0.04154577769357008,0.0,-2.0062942897307514,1.0000216009400584,-0.00029391566606157705,-0.00029102561152082333,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.56,-0.007646979296403855,0.05131381030636427,0.0,-2.0062944488723438,1.0000214120914779,-0.0002939131840111897,-0.00029102711233744535,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.58,-0.006640335649442833,0.058715688466991725,0.0,-2.006294575815464,1.0000212598368186,-0.00029391122768508335,-0.0002910283126009779,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.6,-0.005707877969705128,0.06419098060427395,0.0,-2.0062946757523674,1.000021138461898,-0.0002939097065985701,-0.000291029260701012,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.62,-0.0048474844542491,0.06810038286646174,0.0,-2.006294753251561,1.000021042921002,-0.00029390854270461313,-0.00029102999912523355,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.64,-0.004056465948631355,0.07073987282002568,0.0,-2.00629481230256,1.0000209687910155,-0.0002939076690313468,-0.0002910305649204104,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.66,-0.0033317412492374675,0.07235231610944581,0.0,-2.006294856362104,1.000020912223537,-0.0002939070284469861,-0.00029103099015390674,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.68,-0.002669975429479757,0.07313698471732889,0.0,-2.0062948884007716,1.0000208698962245,-0.00029390657253632513,-0.0002910313023687806,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.7000000000000001,-0.0020676882465857334,0.07325736296587648,0.0,-2.006294910949202,1.0000208389642806,-0.0002939062605754889,-0.0002910315250275489,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
0.72,-0.0015213383850593944,0.07284754973075665,0.0,-2.006294926143273,1.0000208170128133,-0.0002939060585949018,-0.0002910316779405151,-1.2033447024137292,0.23239066389667679,-0.029045961482947642,-366.77360364882406,697.1883841780135,-331.08655460390986,-0.6717740747203834
